Adlešiči,8341
Ajdovščina,5270
Ankaran/Ancarano,6280
Apače,9253
Artiče,8253
B,Begunje na Gorenjskem,4275
Begunje pri Cerknici,1382
Beltinci,9231
Benedikt,2234
Bežigrad,1113
Bistrica ob Dravi,2345
Bistrica ob Sotli,3256
Bizeljsko,8259
Blagovica,1223
Blanca,8283
Bled,4260
Blejska Dobrava,4273
Bodonci,9265
Bogojina,9222
Bohinjska Bela,4263
Bohinjska Bistrica,4264
Bohinjsko jezero,4265
Borovnica,1353
Boštanj,8294
Bovec,5230
Branik,5295
Braslovče,3314
Breginj,5223
Brestanica,8280
Bresternica,2354
Brezje,4243
Brezovica pri Ljubljani,1351
Brežice,8250
Brnik aerodrom,4210
Brusnice,8321
Buče,3255
Bučka,8276
C,Cankova,9261
Celje,3000
Cerklje na Gorenjskem,4207
Cerklje ob Krki,8263
Cerknica,1380
Cerkno,5282
Cerkvenjak,2236
Ceršak,2215
Cirkovce,2326
Cirkulane,2282
Col,5273
Č,Čatež ob Savi,8251
Čemšenik,1413
Čepovan,5253
Črenšovci,9232
Črna na Koroškem,2393
Črni Kal,6275
Črni Vrh nad Idrijo,5274
Črniče,5262
Črnomelj,8340
D,Dekani,6271
Deskle,5210
Destrnik,2253
Divača,6215
Dob,1233
Dobje pri Planini,3224
Dobova,8257
Dobovec, Trbovlje,1423
Dobravlje,5263
Dobrna,3204
Dobrnič,8211
Dobrova,1356
Dobrovnik/Dobronak,9223
Dobrovo v Brdih,5212
Dol pri Hrastniku,1431
Dol pri Ljubljani,1262
Dole pri Litiji,1273
Dolenja vas,1331
Dolenjske Toplice,8350
Domžale,1230
Dornava,2252
Dornberk,5294
Draga,1319
Dragatuš,8343
Dramlje,3222
Dravograd,2370
Duplje,4203
Dutovlje,6221
Dvor,8361
E,Fala,2343
Fokovci,9208
Fram,2313
Frankolovo,3213
G,Gabrovka,1274
Globoko,8254
Godovič,5275
Golnik,4204
Gomilsko,3303
Gorenja vas,4224
Gorica pri Slivnici,3263
Gorišnica,2272
Gornja Radgona,9250
Gornji Grad,3342
Gozd, Martuljek,4282
Gračišče,6272
Grad,9264
Gradac,8332
Grahovo,1384
Grahovo ob Bači,5242
Grgar,5251
Griže,3302
Grobelno,3231
Grosuplje,1290
H,Hajdina,2288
Hinje,8362
Hoče,2311
Hodoš/Hodos,9205
Horjul,1354
Hotedršica,1372
Hrastnik,1430
Hruševje,6225
Hrušica,4276
I,Idrija,5280
Ig,1292
Ilirska Bistrica,6250
Ilirska Bistrica - Trnovo,6251
Ivančna Gorica,1295
Ivanjkovci,2259
Izlake,1411
Izola/Isola,6310
J,Jagodje,6311
Jakobski Dol,2222
Jarenina,2221
Jelšane,6254
Jesenice,4270
Jesenice,8261
Jurklošter,3273
Jurovski Dol,2223
Juršinci,2256
K,Kal nad Kanalom,5214
Kalobje,3233
Kamna Gorica,4246
Kamnica,2351
Kamnik,1240
Kanal,5213
Kapele,8258
Kapla,2362
Kidričevo,2325
Kisovec,1412
Knežak,6253
Kobarid,5222
Kobilje,9227
Kočevje,1330
